NumerOfFollowings,NumberOfFollowers,NumberOfTweets,LengthOfScreenName,LengthOfDescriptionInUserProfile,CreatedAt_encoded,CollectedAt_encoded,class
134,178,1022,12,11,3761,3761,0
39,1353,6640,10,33,3762,3762,0
57,176,5421,9,160,3763,3763,0
146,192,5124,11,158,3764,3764,0
47,57,2639,8,122,3765,3765,0
77,178,4812,14,78,3766,3766,0
27,26,1683,8,19,3767,3767,0
484,276,2546,13,48,3768,3768,0
5,10,934,6,56,3769,3769,0
81,202,3382,8,16,3770,3770,0
15,18,10,8,92,3771,3771,0
1244,1135,1571,10,51,3772,3772,0
445,555,7431,12,126,3773,3773,0
174,103,357,9,67,3774,3774,0
69,136,4419,12,30,3775,3775,0
114,42,502,6,69,3776,3776,0
1,260,15256,10,13,3777,3777,0
41,48,1006,6,0,3778,3778,0
1190,1020,1276,9,107,3779,3779,0
98,442,9863,14,71,3780,3780,0
116,48,1125,14,111,3781,3781,0
92,243,4945,11,0,3782,3782,0
818,401,2473,8,84,3783,3783,0
151,186,359,12,51,3784,3784,0
85,71,503,14,25,3785,3785,0
133,161,2417,11,74,3786,3786,0
168,275,4011,7,115,3787,3787,0
151,150,3967,15,23,3788,3788,0
170,118,1352,9,46,3789,3789,0
34,48,3725,8,65,3790,3790,0
207,4218,1192,13,84,3791,3791,0
109,104,2090,15,91,3792,3792,0
1,33344,526,11,102,3793,3793,0
292,233,4597,13,46,3794,3794,0
79,87,818,9,59,3795,3795,0
94,118,982,10,88,3796,3796,0
329,413,512,15,101,3797,3797,0
119,137,8496,6,0,3798,3798,0
109,158,2271,13,77,3799,3799,0
0,46,9709,5,0,3800,3800,0
118,221,1163,14,68,3801,3801,0
2001,1230,1274,10,11,3802,3802,0
119,44,422,9,87,3803,3803,0
397,83,858,10,0,3804,3804,0
289,229,4159,6,35,3805,3805,0
239,298,3737,9,0,3806,3806,0
63,150,233,10,37,3807,3807,0
86,72,7105,10,50,3808,3808,0
103,119,2314,9,157,3809,3809,0
109,342,541,8,21,3810,3810,0
55,108,25296,4,73,3811,3811,0
88,116,2290,9,58,3812,3812,0
231,193,2334,9,129,3813,3813,0
18,25,307,14,61,3814,3814,0
37,1248,969,9,0,3815,3815,0
737,895,3321,8,56,3816,3816,0
88,117,920,9,9,3817,3817,0
125,92,639,12,0,3818,3818,0
479,869,6657,8,155,3819,3819,0
188,271,3321,10,35,3820,3820,0
60,264,6223,11,60,3821,3821,0
1290,953,1309,7,90,3822,3822,0
613,934,7363,8,0,3823,3823,0
89,120,1218,10,68,3824,3824,0
86,148,3926,14,19,3825,3825,0
103,59,919,7,22,3826,3826,0
59,97,1743,14,0,3827,3827,0
251,155,1026,6,101,3828,3828,0
93,160,768,10,144,3829,3829,0
3448,3135,4093,5,124,3830,3830,0
235,333,838,7,59,3831,3831,0
144,65,899,15,38,3832,3832,0
915,1277,5163,12,88,3833,3833,0
47,73,1133,9,62,3834,3834,0
140,237,4299,8,50,3835,3835,0
2406,2322,343,11,158,3836,3836,0
641,472,1822,8,149,3837,3837,0
51,28,170,12,115,3838,3838,0
1154,1143,3424,10,108,3839,3839,0
82,82,705,8,74,3840,3840,0
10,10,658,14,11,3841,3841,0
72633,66986,8415,15,156,3842,3842,0
89,56,692,15,122,3843,3843,0
52,72,696,14,15,3844,3844,0
203,179,1518,5,19,3845,3845,0
548,336,1554,9,159,3846,3846,0
84,99,139,6,0,3847,3847,0
486,558,1750,10,0,3848,3848,0
128,113,794,10,99,3849,3849,0
67,301,7728,13,43,3850,3850,0
86,70,1402,10,33,3851,3851,0
361,213,4962,12,0,3852,3852,0
180,134,2394,8,32,3853,3853,0
6,10,18,12,0,3854,3854,0
148,108,723,15,98,3855,3855,0
252,1099,16670,6,73,3856,3856,0
215,639,15540,11,53,3857,3857,0
65,88,715,7,22,3858,3858,0
290,857,16216,8,0,3859,3859,0
68,728,1140,13,0,3860,3860,0
636,838,3148,13,158,3861,3861,0
90,182,5010,15,29,3862,3862,0
46,228,1450,8,31,3863,3863,0
830,1564,1664,8,71,3864,3864,0
90,66,416,8,0,3865,3865,0
128,91,822,9,160,3866,3866,0
158,62,311,9,98,3867,3867,0
188,1004,2494,5,92,3868,3868,0
41,169,3960,7,106,3869,3869,0
78,942,6101,8,36,3870,3870,0
164,195,1295,14,25,3871,3871,0
31,19,118,12,0,3872,3872,0
469,242,4612,8,0,3873,3873,0
288,195928,5053,15,129,3874,3874,0
61,81,971,14,15,3875,3875,0
78,116,929,8,61,3876,3876,0
131,522,3200,11,27,3877,3877,0
270,4868,4929,11,157,3878,3878,0
82,55,109,8,109,3879,3879,0
226,161,1831,7,37,3880,3880,0
1681,1511,3519,13,152,3881,3881,0
250,275,139,14,153,3882,3882,0
63,250,1179,14,0,3883,3883,0
562,1146,10783,15,69,3884,3884,0
51,843,886,15,60,3885,3885,0
26,1937,492,12,27,3886,3886,0
370,207,721,7,141,3887,3887,0
36,43,1267,11,77,3888,3888,0
88,57,1698,6,17,3889,3889,0
83,259,584,14,35,3890,3890,0
83,151,3291,15,0,3891,3891,0
15,6657,2724,15,23,3892,3892,0
171,232,2229,9,33,3893,3893,0
159,676,656,10,30,3894,3894,0
7,256,507,15,67,3895,3895,0
684,609,590,7,118,3896,3896,0
74,39,190,8,0,3897,3897,0
142,146,6533,13,95,3898,3898,0
1505,1878,1301,14,146,3899,3899,0
1013,533,289,13,91,3900,3900,0
194,379,8794,8,108,3901,3901,0
39,329,6022,8,82,3902,3902,0
843,1059,8014,7,141,3903,3903,0
0,76,712,12,0,3904,3904,0
507,631,1349,13,91,3905,3905,0
35,43,211,11,0,3906,3906,0
72,134,1242,10,131,3907,3907,0
160,488,1735,10,159,3908,3908,0
39,59,34,7,15,3909,3909,0
24,7,134,5,0,3910,3910,0
17,26,77,8,72,3911,3911,0
190,221,8516,11,38,3912,3912,0
246,4281,9921,7,53,3913,3913,0
206,985,20455,6,56,3914,3914,0
62,74,1227,12,0,3915,3915,0
37,64,716,7,19,3916,3916,0
209,120,662,8,30,3917,3917,0
124,239,724,14,153,3918,3918,0
115,124,9912,7,16,3919,3919,0
70,72,690,7,114,3920,3920,0
28,39,375,10,87,3921,3921,0
67,34,510,10,26,3922,3922,0
178,1113,1456,13,0,3923,3923,0
89,138,201,11,0,3924,3924,0
428,658,6710,13,30,3925,3925,0
326,486,14553,8,16,3926,3926,0
146,379,17516,13,108,3927,3927,0
272,87,955,9,0,3928,3928,0
316,238,2210,11,16,3929,3929,0
6661,6178,783,11,85,3930,3930,0
12417,12017,14527,13,116,3931,3931,0
21,158,323,10,0,3932,3932,0
1993,1585,11191,10,20,3933,3933,0
208,92,397,12,54,3934,3934,0
696,701,11663,8,108,3935,3935,0
60,96,1750,8,77,3936,3936,0
41,19,500,14,141,3937,3937,0
490,511,5492,7,20,3938,3938,0
46,43,912,13,66,3939,3939,0
357,602,5995,9,144,3940,3940,0
136,108,2101,10,16,3941,3941,0
93,992,2592,14,25,3942,3942,0
337,409,2672,8,150,3943,3943,0
45,22,176,11,104,3944,3944,0
122,244,4435,9,93,3945,3945,0
524,1341,20545,14,152,3946,3946,0
92,204,2993,9,114,3947,3947,0
141,86,644,13,48,3948,3948,0
12553,12229,1784,15,150,3949,3949,0
32,30,509,8,0,3950,3950,0
400,1239,2102,10,0,3951,3951,0
45,98,2222,10,75,3952,3952,0
16,18,78,13,0,3953,3953,0
1080,1280,3180,12,82,3954,3954,0
49,11,10,7,0,3955,3955,0
158,153,2703,6,10,3956,3956,0
94,98,538,12,12,3957,3957,0
329,423,1701,14,49,3958,3958,0
322,210,4296,14,68,3959,3959,0
163,489,1788,11,50,3960,3960,0
49,155,6220,10,0,3961,3961,0
30,209,2567,9,62,3962,3962,0
169,205,499,9,118,3963,3963,0
68,60,1323,10,32,3964,3964,0
407,89,633,11,46,3965,3965,0
688,512,7375,12,128,3966,3966,0
169,76,2364,11,0,3967,3967,0
150,173,14008,10,127,3968,3968,0
159,247,2492,11,113,3969,3969,0
64,43,30,13,0,3970,3970,0
57,49,377,6,37,3971,3971,0
73,176,3038,9,43,3972,3972,0
58,949,2749,15,135,3973,3973,0
52,105,3608,9,16,3974,3974,0
104,31,615,14,35,3975,3975,0
270,282,1014,10,0,3976,3976,0
115,95,1912,15,129,3977,3977,0
4429,4875,58985,9,79,3978,3978,0
161,41,1329,13,91,3979,3979,0
16,18,48,9,13,3980,3980,0
286,133,4929,10,60,3981,3981,0
54,41,768,10,0,3982,3982,0
2557,2588,10774,7,68,3983,3983,0
403,312,1445,4,64,3984,3984,0
280,201,3093,11,52,3985,3985,0
157,50,1097,9,0,3986,3986,0
19,35,200,13,35,3987,3987,0
86,103,4367,14,56,3988,3988,0
216,229,4399,7,94,3989,3989,0
145,286,6532,9,33,3990,3990,0
855,1063,3504,9,107,3991,3991,0
18,618,89,12,0,3992,3992,0
52,22,67,10,0,3993,3993,0
94,144,960,10,67,3994,3994,0
104,94,351,8,17,3995,3995,0
30,49,324,14,21,3996,3996,0
98,202,2846,9,22,3997,3997,0
183,60,264,11,60,3998,3998,0
302,522,1413,11,123,3999,3999,0
84,114,1778,7,66,4000,4000,0
10,23,128,6,5,4001,4001,0
25,20,161,5,0,4002,4002,0
134,123,5961,9,0,4003,4003,0
61,65,1223,10,85,4004,4004,0
157,129,359,9,35,4005,4005,0
314,122,416,14,17,4006,4006,0
18,1208,1420,9,75,4007,4007,0
27,20,316,11,45,4008,4008,0
53,65,1262,15,117,4009,4009,0
41,24,66,6,79,4010,4010,0
64,351,1935,9,123,4011,4011,0
31,19,18,10,42,4012,4012,0
262,1358,4075,12,9,4013,4013,0
73,35,527,8,22,4014,4014,0
32,34,479,15,58,4015,4015,0
111,107,1141,7,79,4016,4016,0
134,123,1613,6,20,4017,4017,0
237,95,1573,10,17,4018,4018,0
31,40,500,9,25,4019,4019,0
1986,1925,2004,11,137,4020,4020,0
183,70,908,11,26,4021,4021,0
345,440,6103,11,0,4022,4022,0
94,72,1920,11,20,4023,4023,0
1931,1123,120,13,50,4024,4024,0
9,15,50,11,105,4025,4025,0
75,49,1139,5,70,4026,4026,0
369,360,3230,9,96,4027,4027,0
216,179,16663,15,0,4028,4028,0
177,354,3240,12,46,4029,4029,0
24,14,274,11,64,4030,4030,0
97,131,4222,10,35,4031,4031,0
740,2411,1136,12,105,4032,4032,0
241,189,1738,13,116,4033,4033,0
157,425,23147,11,49,4034,4034,0
27,25,75,11,0,4035,4035,0
27,20,690,7,10,4036,4036,0
126,115,2988,7,128,4037,4037,0
2,1414,137,12,0,4038,4038,0
100,100,398,8,75,4039,4039,0
625,803,9430,15,106,4040,4040,0
3204,3650,3738,8,97,4041,4041,0
641,449,338,13,82,4042,4042,0
68,14,190,10,27,4043,4043,0
42,1192,10124,8,0,4044,4044,0
90,115,4230,11,99,4045,4045,0
54,34,1278,10,12,4046,4046,0
129,96,546,7,60,4047,4047,0
56,93,1627,12,70,4048,4048,0
538,494,2560,7,69,4049,4049,0
173,755,9427,8,22,4050,4050,0
26,29,87,14,24,4051,4051,0
215,229,14176,11,133,4052,4052,0
17,34,654,8,6,4053,4053,0
59,84,1031,7,93,4054,4054,0
3,166,2736,8,121,4055,4055,0
207,239,17336,13,65,4056,4056,0
299,184,1922,5,75,4057,4057,0
94,73,798,12,47,4058,4058,0
704,845,5160,11,70,4059,4059,0
190,289,736,9,137,4060,4060,0
6,7,684,9,8,4061,4061,0
85,108,2024,15,0,4062,4062,0
80,47,392,11,0,4063,4063,0
12,22,388,10,95,4064,4064,0
8,13,10,10,0,4065,4065,0
111,153,822,6,69,4066,4066,0
271,298,6738,10,67,4067,4067,0
3,4,0,11,0,4068,4068,0
112,132,317,8,86,4069,4069,0
84,63,551,7,73,4070,4070,0
234,187,2520,9,101,4071,4071,0
73,37,109,12,11,4072,4072,0
2000,1004,11628,14,95,4073,4073,0
1136,310,455,13,134,4074,4074,0
44,61,1687,6,18,4075,4075,0
143,387,8332,8,57,4076,4076,0
1582,1232,170,11,75,4077,4077,0
20,15,2686,10,69,4078,4078,0
5,4,15,6,0,4079,4079,0
171,101,1109,12,5,4080,4080,0
24410,22213,7856,9,146,4081,4081,0
109,295,4695,12,113,4082,4082,0
108,90,471,9,118,4083,4083,0
33,28,186,7,0,4084,4084,0
78,15,369,13,0,4085,4085,0
46,33,414,8,0,4086,4086,0
5,8,85,7,17,4087,4087,0
85,131,4883,8,0,4088,4088,0
169,79,1816,9,8,4089,4089,0
249,459,4695,14,144,4090,4090,0
320,374,3431,9,66,4091,4091,0
119,103,128,13,139,4092,4092,0
1895,1117,2525,11,158,4093,4093,0
114,91,739,11,6,4094,4094,0
34,73,1836,10,11,4095,4095,0
293,350,2967,15,0,4096,4096,0
16394,16365,26482,11,145,4097,4097,0
110,116,253,11,150,4098,4098,0
368,1377,12015,8,17,4099,4099,0
425,284,11503,7,123,4100,4100,0
124,79,190,13,79,4101,4101,0
9891,9887,5622,11,133,4102,4102,0
70,91,5572,7,112,4103,4103,0
172,72,1871,11,0,4104,4104,0
110,163,2949,6,145,4105,4105,0
4041,3913,5347,6,27,4106,4106,0
89,82,120,15,30,4107,4107,0
13,18,42,9,52,4108,4108,0
135,105,1532,12,15,4109,4109,0
15,57,167,13,36,4110,4110,0
146,128,2206,7,52,4111,4111,0
394,302,2649,12,139,4112,4112,0
346,185,407,13,45,4113,4113,0
81,64,499,12,72,4114,4114,0
118,348,8191,6,43,4115,4115,0
57,86,1296,9,66,4116,4116,0
57,107,1241,12,34,4117,4117,0
159,225,891,15,74,4118,4118,0
22,17,106,8,0,4119,4119,0
121,179,3636,9,20,4120,4120,0
41,1654,4484,9,67,4121,4121,0
237,130,977,10,0,4122,4122,0
126,146,3517,8,59,4123,4123,0
190,269,2959,10,44,4124,4124,0
14,16,163,10,0,4125,4125,0
67,239,6177,15,0,4126,4126,0
16,357,1405,8,21,4127,4127,0
56,39,294,7,0,4128,4128,0
193,201,9757,11,68,4129,4129,0
62,115,1986,7,46,4130,4130,0
49,396,5478,12,45,4131,4131,0
78,175,5283,8,102,4132,4132,0
81,98,447,11,86,4133,4133,0
91,208,4361,13,22,4134,4134,0
3,2608,499,15,45,4135,4135,0
299,299,12969,10,106,4136,4136,0
6532,6720,7115,10,137,4137,4137,0
326,1139,13190,11,36,4138,4138,0
172,168,718,13,26,4139,4139,0
127,125,675,6,0,4140,4140,0
17,14,670,11,55,4141,4141,0
108,95,1848,14,98,4142,4142,0
109,135,3611,13,144,4143,4143,0
17,7,20,12,0,4144,4144,0
47,33,135,12,70,4145,4145,0
179,175,4563,10,60,4146,4146,0
94,205,405,8,25,4147,4147,0
2540,2708,4087,11,153,4148,4148,0
72,217,592,10,140,4149,4149,0
38,46,340,10,98,4150,4150,0
248,125,2550,10,22,4151,4151,0
35,246,800,7,69,4152,4152,0
75,74,1736,10,0,4153,4153,0
55,310,5872,6,0,4154,4154,0
151,214,2390,7,63,4155,4155,0
107,161,3911,7,109,4156,4156,0
350,488,7268,15,44,4157,4157,0
363,937,654,11,28,4158,4158,0
2876,3108,6683,14,148,4159,4159,0
184,187,1869,8,112,4160,4160,0
101,137,1385,10,159,4161,4161,0
9,57,74,9,0,4162,4162,0
87,251,5107,14,39,4163,4163,0
357,313,5781,10,136,4164,4164,0
147,155,1755,10,8,4165,4165,0
168,470,6879,12,74,4166,4166,0
235,376,16153,10,14,4167,4167,0
1402,1426,18128,12,137,4168,4168,0
34,47,918,13,31,4169,4169,0
25,31,102,10,0,4170,4170,0
194,97,32,10,17,4171,4171,0
1087,860,1389,15,103,4172,4172,0
232,222,445,7,62,4173,4173,0
490,203,2655,12,95,4174,4174,0
105,57,678,14,82,4175,4175,0
653,207,3937,7,93,4176,4176,0
2203,2007,2544,7,26,4177,4177,0
83,55,970,12,18,4178,4178,0
3388,3221,818,12,126,4179,4179,0
33,27,707,15,15,4180,4180,0
2,86,1904,11,102,4181,4181,0
197,401,2056,12,160,4182,4182,0
281,162,1227,9,62,4183,4183,0
552,623,1668,12,134,4184,4184,0
229,607,3175,13,0,4185,4185,0
37,78,52,10,135,4186,4186,0
277,214,1822,7,23,4187,4187,0
27,15,155,12,0,4188,4188,0
161,170,1839,11,0,4189,4189,0
185,255,12696,13,83,4190,4190,0
310,151,477,9,0,4191,4191,0
32,36,499,8,18,4192,4192,0
227,156,766,15,52,4193,4193,0
338,132,135,6,36,4194,4194,0
331,246,2291,8,0,4195,4195,0
86,43,85,11,0,4196,4196,0
137,88,2006,13,46,4197,4197,0
484,1066,3545,8,159,4198,4198,0
244,44,1668,11,0,4199,4199,0
96,97,1094,10,0,4200,4200,0
38,70,1083,14,0,4201,4201,0
11,6,61,9,0,4202,4202,0
1248,1113,40955,9,39,4203,4203,0
838,203,313,15,42,4204,4204,0
126,87,771,15,0,4205,4205,0
42,193,446,11,103,4206,4206,0
8,598,500,14,20,4207,4207,0
133,97,944,10,15,4208,4208,0
271,157,3998,12,35,4209,4209,0
198,462,7927,7,128,4210,4210,0
60,37,1026,9,23,4211,4211,0
1361,1027,452,14,160,4212,4212,0
12,20,133,7,30,4213,4213,0
100,122,2964,12,36,4214,4214,0
195,389,3372,8,33,4215,4215,0
22,17,44,7,15,4216,4216,0
1390,1782,28746,11,154,4217,4217,0
51,68,252,14,0,4218,4218,0
113,83,2020,9,11,4219,4219,0
113,6645,4636,8,12,4220,4220,0
357,417,3368,7,39,4221,4221,0
123,663,232,14,159,4222,4222,0
209,238,2440,8,1,4223,4223,0
115,1054,14011,10,64,4224,4224,0
68,103,2841,5,12,4225,4225,0
1021,1061,1709,7,117,4226,4226,0
857,380,551,11,61,4227,4227,0
121,781,1863,9,14,4228,4228,0
5956,6109,3035,10,160,4229,4229,0
40,33,378,11,34,4230,4230,0
42,96,383,6,48,4231,4231,0
61,52,1687,10,0,4232,4232,0
84,118,1951,12,0,4233,4233,0
1696,1963,2754,12,124,4234,4234,0
160,147,5654,15,101,4235,4235,0
0,273,12877,10,0,4236,4236,0
3,7,127,13,63,4237,4237,0
98,115,1083,9,56,4238,4238,0
87,55,591,12,16,4239,4239,0
22,211,5340,10,43,4240,4240,0
1124,1255,37931,6,54,4241,4241,0
105,135,437,9,11,4242,4242,0
370,4166,1429,10,64,4243,4243,0
26,35,1231,12,25,4244,4244,0
102,69,1811,12,62,4245,4245,0
1,0,11,7,38,4246,4246,0
80,115,172,7,106,4247,4247,0
15630,14824,58180,8,122,4248,4248,0
646,289,652,11,53,4249,4249,0
29,29,860,11,83,4250,4250,0
130,80,504,9,0,4251,4251,0
185,229,7060,6,153,4252,4252,0
63,109,1942,13,0,4253,4253,0
61,71,2367,14,27,4254,4254,0
343,132,713,13,143,4255,4255,0
47,51,438,13,82,4256,4256,0
394,498,3511,8,28,4257,4257,0
29,358,3613,6,73,4258,4258,0
122,19,1483,8,0,4259,4259,0
9,9,13,15,0,4260,4260,0
108,159,1106,10,149,4261,4261,0
52,2726,5060,10,35,4262,4262,0
94,21,100,10,0,4263,4263,0
57,27,3811,8,46,4264,4264,0
15,647,4527,15,108,4265,4265,0
283,406,387,11,108,4266,4266,0
758,533,10268,13,72,4267,4267,0
154,32524,5062,12,121,4268,4268,0
371,491,6199,10,105,4269,4269,0
31,188,1221,10,151,4270,4270,0
35,47,1141,13,6,4271,4271,0
17,23,162,13,10,4272,4272,0
209,116,4218,11,0,4273,4273,0
287,194,477,7,115,4274,4274,0
7,20,42,10,0,4275,4275,0
25,22,507,8,0,4276,4276,0
26,37,313,10,8,4277,4277,0
48,93,8516,5,0,4278,4278,0
202,700,548,12,0,4279,4279,0
163,104,118,10,33,4280,4280,0
319,163,216,9,73,4281,4281,0
126,236,8254,6,160,4282,4282,0
251,286,1134,11,96,4283,4283,0
43,25,260,4,0,4284,4284,0
229,294,1770,14,25,4285,4285,0
423,1702,543,13,109,4286,4286,0
462,495,5739,12,0,4287,4287,0
18,29,395,10,12,4288,4288,0
288,1752,1643,10,92,4289,4289,0
402,633,4834,12,160,4290,4290,0
36,12,1025,15,0,4291,4291,0
62,55,1407,12,58,4292,4292,0
164,233,4697,11,91,4293,4293,0
50,49,83,12,32,4294,4294,0
215,194,2331,11,0,4295,4295,0
81,56,1000,11,34,4296,4296,0
150,102,409,6,45,4297,4297,0
47,60,681,15,90,4298,4298,0
256,74,691,11,46,4299,4299,0
80,39,4054,12,61,4300,4300,0
4743,4318,17922,7,85,4301,4301,0
3,21,20,9,0,4302,4302,0
150,127,480,6,0,4303,4303,0
142,75,397,6,85,4304,4304,0
96,106,2287,6,14,4305,4305,0
69,48,1624,11,58,4306,4306,0
92,17,350,7,0,4307,4307,0
423,70,578,15,44,4308,4308,0
82,30,578,5,73,4309,4309,0
31,28,826,14,83,4310,4310,0
148,142,1272,14,40,4311,4311,0
1294,1195,2565,11,129,4312,4312,0
122,32,108,12,76,4313,4313,0
232,326,6343,9,109,4314,4314,0
58,59,61,8,0,4315,4315,0
37,166,188,15,49,4316,4316,0
52,47,581,10,0,4317,4317,0
46,80,1860,7,38,4318,4318,0
123,117,922,13,114,4319,4319,0
33,64,122,9,75,4320,4320,0
193,228,5752,8,97,4321,4321,0
78,100,4071,7,86,4322,4322,0
15,47,1031,6,0,4323,4323,0
718,46833,837,7,100,4324,4324,0
74,59,821,11,36,4325,4325,0
36,172,4812,13,153,4326,4326,0
1118,779,588,15,0,4327,4327,0
830,832,1230,9,160,4328,4328,0
137,158,1202,8,119,4329,4329,0
178,113,172,15,93,4330,4330,0
53,23,27,10,0,4331,4331,0
47,279,2612,6,53,4332,4332,0
232,1120,4633,7,0,4333,4333,0
312,365,26452,9,18,4334,4334,0
12,47,812,11,18,4335,4335,0
130,994,19967,9,96,4336,4336,0
90,144,4073,6,56,4337,4337,0
52,492,727,12,19,4338,4338,0
12,7,3,9,0,4339,4339,0
15,14,6,9,0,4340,4340,0
19,23,81,6,0,4341,4341,0
132,119,2296,10,61,4342,4342,0
33,22,68,8,35,4343,4343,0
196,1425,4082,8,54,4344,4344,0
487,449,1157,12,146,4345,4345,0
61,35,59,6,0,4346,4346,0
109,78,1286,15,73,4347,4347,0
120,61,475,7,0,4348,4348,0
365,221,875,10,13,4349,4349,0
26,27,234,9,91,4350,4350,0
35,51,345,14,102,4351,4351,0
306,189,19588,10,39,4352,4352,0
6,8,47,9,88,4353,4353,0
184,196,1664,7,159,4354,4354,0
207,327,5859,12,42,4355,4355,0
95,197,7697,13,129,4356,4356,0
211,286,8403,11,31,4357,4357,0
324,222,3426,6,129,4358,4358,0
793,804,4458,6,121,4359,4359,0
7,107,46,15,0,4360,4360,0
117,69,715,7,29,4361,4361,0
10,188,8400,14,0,4362,4362,0
2002,1895,1436,12,24,4363,4363,0
0,84,3441,15,0,4364,4364,0
0,121,3359,14,0,4365,4365,0
221,202,2512,7,0,4366,4366,0
132,184,1084,9,32,4367,4367,0
0,54,25048,5,0,4368,4368,0
70,66,235,10,51,4369,4369,0
105,74,1276,12,34,4370,4370,0
11,45,1055,8,81,4371,4371,0
26,30,288,6,58,4372,4372,0
254,148,787,8,110,4373,4373,0
111,97,749,8,12,4374,4374,0
17,116,2864,9,63,4375,4375,0
91,53,792,10,63,4376,4376,0
1402,1961,4981,14,113,4377,4377,0
38,81,911,14,56,4378,4378,0
32,25,22,7,45,4379,4379,0
186,531,6260,11,77,4380,4380,0
50,37,206,12,109,4381,4381,0
129,94,809,9,0,4382,4382,0
40,107,1261,11,26,4383,4383,0
55,25,1302,8,40,4384,4384,0
4,7,307,6,9,4385,4385,0
700,409,8774,12,148,4386,4386,0
228,259,1877,12,72,4387,4387,0
55,55,3930,11,45,4388,4388,0
20,34,180,15,158,4389,4389,0
6,4,70,8,0,4390,4390,0
91,269,3669,9,77,4391,4391,0
136,178,2385,12,109,4392,4392,0
108,93,2132,9,0,4393,4393,0
184,104,1088,13,0,4394,4394,0
67,32,261,5,0,4395,4395,0
229,183,1840,8,118,4396,4396,0
106,185,3143,12,27,4397,4397,0
682,1401,6496,12,54,4398,4398,0
85,145,4401,11,53,4399,4399,0
123,53,624,9,20,4400,4400,0
23,78,555,6,16,4401,4401,0
21,21,299,13,55,4402,4402,0
67,83,502,10,158,4403,4403,0
111,190,3529,13,22,4404,4404,0
319,269,754,12,46,4405,4405,0
52,85,860,10,52,4406,4406,0
240,316,2924,10,122,4407,4407,0
174,614,1559,13,97,4408,4408,0
383,1424,16024,14,101,4409,4409,0
131,75,372,12,43,4410,4410,0
86,94,4674,5,68,4411,4411,0
43,143,212,7,15,4412,4412,0
4,2582,6198,15,90,4413,4413,0
488,241,11825,7,73,4414,4414,0
79,36,23,12,0,4415,4415,0
49,42,1218,9,11,4416,4416,0
125,251,7147,10,52,4417,4417,0
72,52,615,15,33,4418,4418,0
137,196,2178,11,29,4419,4419,0
38,48,381,10,20,4420,4420,0
137,88,215,10,82,4421,4421,0
78,141,2862,14,42,4422,4422,0
779,528,2548,7,0,4423,4423,0
93,135,5725,10,127,4424,4424,0
16,21,75,9,0,4425,4425,0
183,215,8104,7,32,4426,4426,0
65,58,751,10,147,4427,4427,0
131,259,113,12,60,4428,4428,0
55,77,1034,7,145,4429,4429,0
0,33,38,13,109,4430,4430,0
234,126,602,12,0,4431,4431,0
28,169,582,12,37,4432,4432,0
33,47,723,8,142,4433,4433,0
57,243,926,9,0,4434,4434,0
100,125,9652,7,62,4435,4435,0
182,207,20575,5,63,4436,4436,0
47,37,2103,7,5,4437,4437,0
180,122,4131,8,21,4438,4438,0
147,321,2095,6,0,4439,4439,0
188,177,2590,10,96,4440,4440,0
103,173,1310,12,0,4441,4441,0
230,117,2244,10,46,4442,4442,0
27,55,962,13,53,4443,4443,0
72,125,9155,6,49,4444,4444,0
35,21,89,13,13,4445,4445,0
270,308,2377,9,33,4446,4446,0
8,17,120,10,32,4447,4447,0
171,467,5921,5,107,4448,4448,0
613,478,714,7,34,4449,4449,0
0,87,3991,15,65,4450,4450,0
444,478,12607,11,23,4451,4451,0
1,430,5104,11,72,4452,4452,0
12,118,113,15,140,4453,4453,0
34,49,918,13,25,4454,4454,0
110,117,1362,7,14,4455,4455,0
64,73,1001,12,68,4456,4456,0
19,4,13,15,0,4457,4457,0
126,167,1459,8,98,4458,4458,0
202,141,520,11,142,4459,4459,0
1255,1276,11065,10,84,4460,4460,0
85,476,699,10,41,4461,4461,0
360,229,5731,9,52,4462,4462,0
48,39,175,15,0,4463,4463,0
679,266,3687,8,28,4464,4464,0
275,418,3245,11,67,4465,4465,0
142,43,985,12,37,4466,4466,0
113,122,1771,10,28,4467,4467,0
139,97,1029,5,0,4468,4468,0
290,195,722,10,0,4469,4469,0
16,9,4,12,39,4470,4470,0
858,1097,1385,10,102,4471,4471,0
106,152,3561,8,26,4472,4472,0
884,805,6690,9,94,4473,4473,0
73,88,1648,13,16,4474,4474,0
208,138,2214,10,0,4475,4475,0
47,109,1118,13,46,4476,4476,0
62,109,1559,5,64,4477,4477,0
4,5,73,10,75,4478,4478,0
871,651,13102,11,107,4479,4479,0
220,72,519,10,19,4480,4480,0
75,380,1007,7,138,4481,4481,0
34,64,1161,12,0,4482,4482,0
101,31,3768,12,0,4483,4483,0
125,129,2628,15,0,4484,4484,0
178,90,2162,14,14,4485,4485,0
551,585,12762,8,51,4486,4486,0
28,729,1122,15,96,4487,4487,0
538,6507,4926,7,40,4488,4488,0
30,763,5636,14,94,4489,4489,0
28,1113,2223,12,93,4490,4490,0
28,531,2441,14,94,4491,4491,0
75,119,1637,15,0,4492,4492,0
112,110,14242,5,47,4493,4493,0
112,70,761,11,42,4494,4494,0
52,36,51,7,160,4495,4495,0
2,13,74,14,0,4496,4496,0
82,161,4824,11,0,4497,4497,0
209,371,2228,9,98,4498,4498,0
28,27,1073,9,31,4499,4499,0
38,36,56,7,109,4500,4500,0
128,61,228,15,64,4501,4501,0
